Scottish Council Area 2011,All people,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100 and over
S12000033,222793,2469,2489,2238,2218,2098,1936,1898,1799,1790,1749,1782,1914,1841,1961,1903,2050,2136,2233,3636,4637,4883,4765,4485,4607,4467,4490,4286,4103,4233,4104,3819,3672,3385,3113,3048,3036,2793,2915,2967,3031,3061,2877,3002,2954,2937,3001,3121,3134,3077,3072,2917,2878,2917,2809,2781,2738,2654,2539,2420,2440,2381,2413,2503,2571,2586,1771,1707,1677,1771,1600,1527,1613,1564,1498,1514,1398,1363,1405,1237,1291,1168,1058,1018,933,809,763,605,548,475,401,392,274,141,124,110,82,59,39,35,22,39
S12000034,252973,2880,3182,3085,2979,3012,2843,2854,2778,2803,2730,2828,3031,3064,3098,3125,3097,3382,3349,2820,2645,2695,2532,2618,2622,2687,2531,2612,2649,2559,2843,2919,3000,2748,2896,3001,3086,3306,3529,3607,3892,3960,3837,4100,4013,4158,4101,4195,4253,4205,3904,3904,3666,3783,3732,3672,3605,3581,3507,3323,3366,3321,3348,3466,3694,3699,2674,2666,2523,2451,2301,2021,2204,1996,1924,1811,1786,1660,1518,1496,1312,1344,1154,1056,985,890,823,753,690,543,516,422,341,187,155,133,93,87,59,26,27,36
S12000041,115978,1130,1179,1222,1263,1173,1203,1214,1260,1187,1232,1266,1306,1397,1363,1470,1393,1509,1421,1314,1253,1262,1128,1145,1238,1210,1205,1202,1172,1181,1280,1230,1218,1190,1185,1160,1246,1213,1366,1485,1601,1572,1646,1663,1704,1721,1768,1850,1785,1851,1835,1732,1723,1683,1556,1630,1555,1522,1593,1599,1521,1604,1626,1718,1886,1902,1352,1393,1417,1309,1223,1138,1187,1084,1114,1064,997,1010,878,821,876,777,738,665,558,555,490,441,395,347,290,232,204,118,93,80,72,51,29,23,15,25
S12000035,88166,767,872,843,785,840,865,879,879,823,866,906,889,1035,1048,1041,1097,1096,1103,907,895,875,879,930,918,836,880,850,820,807,807,811,800,761,723,762,856,848,939,1033,1115,1133,1213,1200,1288,1375,1266,1425,1380,1409,1406,1356,1313,1311,1265,1285,1309,1232,1262,1253,1272,1373,1278,1436,1517,1587,1211,1276,1199,1166,1061,997,1038,971,905,937,818,817,695,683,679,626,561,559,424,381,415,336,291,262,230,211,164,102,63,58,57,49,31,16,15,32
S12000005,51442,615,561,593,620,538,562,534,512,544,556,571,609,606,633,641,638,681,673,667,575,547,554,526,663,566,593,603,578,577,581,660,621,601,564,583,632,657,627,709,835,749,802,888,850,934,793,874,866,835,812,783,778,749,726,688,653,707,672,650,644,655,706,682,791,737,539,634,568,544,474,427,400,430,421,437,343,320,281,288,259,261,232,225,170,146,140,119,117,111,79,64,51,35,26,22,16,13,9,3,4,4
S12000006,151324,1487,1577,1495,1563,1538,1540,1558,1470,1463,1347,1555,1570,1681,1715,1749,1856,1933,1931,1542,1485,1556,1432,1534,1645,1525,1453,1537,1430,1435,1520,1387,1423,1360,1294,1281,1445,1527,1589,1686,1916,1933,2069,2131,2198,2279,2330,2447,2473,2388,2357,2365,2247,2218,2205,2145,2220,2153,2123,2133,2158,2218,2178,2300,2497,2479,1980,2080,1993,1943,1847,1707,1753,1590,1573,1531,1475,1368,1351,1274,1154,1109,997,959,766,804,668,601,482,444,387,335,235,168,121,102,77,63,45,30,13,25
S12000042,147268,1599,1622,1558,1557,1455,1416,1383,1406,1306,1344,1359,1444,1453,1525,1609,1668,1468,1576,2776,3308,3527,3277,2981,2917,2635,2563,2485,2309,2225,2151,2042,1892,1723,1670,1550,1581,1554,1514,1622,1771,1835,1782,1888,1888,1862,2006,2106,2022,2051,2011,2082,1994,1910,1954,1933,1614,1623,1579,1633,1545,1537,1691,1617,1824,1863,1260,1361,1268,1243,1235,1204,1193,1269,1197,1122,1153,1104,1039,973,960,899,811,793,655,632,546,516,486,392,309,282,209,121,69,86,67,58,25,28,13,19
S12000008,122767,1348,1372,1387,1319,1336,1292,1316,1305,1202,1279,1295,1371,1375,1477,1408,1517,1541,1581,1563,1515,1495,1514,1500,1501,1504,1495,1392,1330,1352,1417,1421,1406,1369,1244,1198,1415,1497,1517,1669,1794,1814,1929,1942,1989,2008,1946,2122,1972,1939,1808,1902,1738,1821,1738,1702,1599,1601,1612,1626,1475,1583,1607,1588,1785,1785,1335,1402,1376,1256,1153,1107,1140,1080,1036,1030,932,925,862,803,775,717,595,521,510,464,398,343,291,268,219,226,151,112,78,49,48,40,27,13,14,11
S12000045,105026,990,974,1063,1073,1052,1154,1115,1173,1062,1176,1172,1249,1304,1390,1273,1494,1351,1450,1311,1367,1292,1212,1256,1151,1039,971,865,891,791,814,884,886,891,860,980,1033,1004,1166,1251,1395,1548,1479,1531,1633,1674,1671,1794,1796,1752,1865,1744,1648,1724,1686,1606,1570,1525,1422,1464,1312,1429,1409,1479,1462,1550,1133,1283,1224,1118,1039,1029,1084,1058,1030,979,944,934,862,791,742,689,616,604,523,495,406,369,319,237,248,180,144,84,71,63,40,27,20,18,8,17
S12000010,99717,1155,1139,1223,1228,1180,1162,1126,1155,1023,1075,1125,1164,1174,1177,1258,1264,1293,1287,1371,1239,1099,1061,1068,1032,1032,947,974,922,957,1005,973,988,1011,921,1120,1109,1161,1288,1404,1503,1581,1528,1565,1696,1639,1560,1762,1625,1686,1606,1562,1562,1473,1523,1461,1339,1331,1223,1208,1200,1192,1226,1229,1433,1351,1038,1108,1108,992,952,929,854,876,862,776,744,737,733,647,674,576,563,502,445,440,394,328,294,250,217,191,159,77,69,63,37,47,32,18,8,23
S12000011,90574,944,957,988,1041,1054,1044,1163,1100,1109,1142,1150,1169,1250,1248,1314,1228,1255,1323,1183,1105,1028,1076,1131,946,904,755,705,713,621,734,767,797,820,845,855,936,945,1023,1161,1203,1310,1264,1444,1450,1521,1509,1484,1628,1551,1485,1468,1428,1499,1406,1366,1349,1226,1198,1145,1139,1041,1123,1143,1214,1171,921,947,937,882,764,834,776,792,780,732,751,720,642,604,643,570,542,465,425,398,381,307,286,251,219,198,142,81,73,55,45,35,26,23,14,19
S12000036,476626,5753,5440,5330,5035,4605,4407,4085,4057,3935,4010,4044,4101,4231,4320,4366,4483,4426,4708,6408,8504,9936,9609,9766,9626,8885,9086,9307,8982,8959,8990,8304,8416,7692,7132,6989,6853,6812,6743,6656,7031,6535,6356,6553,6717,6620,6558,6733,6555,6749,6322,6383,6055,5988,5773,5695,5346,5170,5144,4891,4913,4854,4886,4874,5179,5268,3785,3836,3706,3529,3271,3149,3339,3190,3181,3095,2975,2814,2754,2598,2642,2579,2299,2101,1953,1813,1676,1421,1321,1129,1032,904,627,438,293,279,227,182,114,85,57,93
S12000013,27684,235,243,277,287,312,277,268,302,301,265,304,279,325,283,338,382,326,343,263,272,201,246,258,264,259,257,241,217,268,275,236,277,311,251,302,316,298,314,328,380,365,423,422,427,418,403,399,446,422,428,421,411,409,398,396,388,388,378,385,433,402,436,450,426,460,355,345,359,338,303,312,323,303,299,260,238,245,241,233,190,171,172,200,153,144,132,108,114,94,91,69,52,27,21,17,13,14,15,8,4,6
S12000014,155990,1786,1961,1903,1863,1826,1802,1740,1697,1602,1570,1673,1696,1818,1797,1864,1779,1872,1866,1866,1938,1919,1713,1656,1807,1707,1739,1867,1794,1898,2012,1984,2071,2010,1875,1853,2057,2153,2221,2307,2523,2477,2376,2611,2602,2532,2534,2581,2518,2388,2408,2409,2193,2219,2130,2094,1970,1876,1861,1873,1893,1956,2021,1929,2038,2120,1511,1608,1587,1474,1371,1287,1371,1347,1287,1208,1162,1118,993,931,856,837,725,716,561,558,510,437,396,290,292,249,184,108,78,71,55,43,19,24,12,20
