Scottish Council Area 2011,Highest level of qualification,Count
S12000033,All people aged 16 and over: Total,190658
S12000033,All people aged 16 and over: No qualifications,38459
S12000033,All people aged 16 and over: Level 1,41913
S12000033,All people aged 16 and over: Level 2,28688
S12000033,All people aged 16 and over: Level 3,18377
S12000033,All people aged 16 and over: Level 4 and above,63221
S12000034,All people aged 16 and over: Total,205584
S12000034,All people aged 16 and over: No qualifications,48427
S12000034,All people aged 16 and over: Level 1,52539
S12000034,All people aged 16 and over: Level 2,28320
S12000034,All people aged 16 and over: Level 3,20880
S12000034,All people aged 16 and over: Level 4 and above,55418
S12000041,All people aged 16 and over: Total,95720
S12000041,All people aged 16 and over: No qualifications,26163
S12000041,All people aged 16 and over: Level 1,23744
S12000041,All people aged 16 and over: Level 2,12760
S12000041,All people aged 16 and over: Level 3,10431
S12000041,All people aged 16 and over: Level 4 and above,22622
S12000035,All people aged 16 and over: Total,73731
S12000035,All people aged 16 and over: No qualifications,18234
S12000035,All people aged 16 and over: Level 1,16778
S12000035,All people aged 16 and over: Level 2,10946
S12000035,All people aged 16 and over: Level 3,6496
S12000035,All people aged 16 and over: Level 4 and above,21277
S12000005,All people aged 16 and over: Total,42109
S12000005,All people aged 16 and over: No qualifications,12028
S12000005,All people aged 16 and over: Level 1,10751
S12000005,All people aged 16 and over: Level 2,5820
S12000005,All people aged 16 and over: Level 3,4278
S12000005,All people aged 16 and over: Level 4 and above,9232
S12000006,All people aged 16 and over: Total,126160
S12000006,All people aged 16 and over: No qualifications,41563
S12000006,All people aged 16 and over: Level 1,31078
S12000006,All people aged 16 and over: Level 2,16771
S12000006,All people aged 16 and over: Level 3,9614
S12000006,All people aged 16 and over: Level 4 and above,27134
S12000042,All people aged 16 and over: Total,123564
S12000042,All people aged 16 and over: No qualifications,33208
S12000042,All people aged 16 and over: Level 1,28185
S12000042,All people aged 16 and over: Level 2,19238
S12000042,All people aged 16 and over: Level 3,12278
S12000042,All people aged 16 and over: Level 4 and above,30655
S12000008,All people aged 16 and over: Total,101168
S12000008,All people aged 16 and over: No qualifications,34507
S12000008,All people aged 16 and over: Level 1,24651
S12000008,All people aged 16 and over: Level 2,13793
S12000008,All people aged 16 and over: Level 3,10092
S12000008,All people aged 16 and over: Level 4 and above,18125
S12000045,All people aged 16 and over: Total,86312
S12000045,All people aged 16 and over: No qualifications,17181
S12000045,All people aged 16 and over: Level 1,16626
S12000045,All people aged 16 and over: Level 2,14035
S12000045,All people aged 16 and over: Level 3,8428
S12000045,All people aged 16 and over: Level 4 and above,30042
S12000010,All people aged 16 and over: Total,81089
S12000010,All people aged 16 and over: No qualifications,20368
S12000010,All people aged 16 and over: Level 1,20248
S12000010,All people aged 16 and over: Level 2,11607
S12000010,All people aged 16 and over: Level 3,6985
S12000010,All people aged 16 and over: Level 4 and above,21881
S12000011,All people aged 16 and over: Total,72673
S12000011,All people aged 16 and over: No qualifications,13966
S12000011,All people aged 16 and over: Level 1,13369
S12000011,All people aged 16 and over: Level 2,12515
S12000011,All people aged 16 and over: Level 3,7214
S12000011,All people aged 16 and over: Level 4 and above,25609
S12000036,All people aged 16 and over: Total,404424
S12000036,All people aged 16 and over: No qualifications,69306
S12000036,All people aged 16 and over: Level 1,74970
S12000036,All people aged 16 and over: Level 2,62021
S12000036,All people aged 16 and over: Level 3,30544
S12000036,All people aged 16 and over: Level 4 and above,167583
S12000013,All people aged 16 and over: Total,23006
S12000013,All people aged 16 and over: No qualifications,6907
S12000013,All people aged 16 and over: Level 1,4735
S12000013,All people aged 16 and over: Level 2,3143
S12000013,All people aged 16 and over: Level 3,2144
S12000013,All people aged 16 and over: Level 4 and above,6077
S12000014,All people aged 16 and over: Total,127613
S12000014,All people aged 16 and over: No qualifications,34913
S12000014,All people aged 16 and over: Level 1,35315
S12000014,All people aged 16 and over: Level 2,18205
S12000014,All people aged 16 and over: Level 3,13345
S12000014,All people aged 16 and over: Level 4 and above,25835
S12000015,All people aged 16 and over: Total,300801
S12000015,All people aged 16 and over: No qualifications,79421
S12000015,All people aged 16 and over: Level 1,72730
S12000015,All people aged 16 and over: Level 2,43306
S12000015,All people aged 16 and over: Level 3,33776
S12000015,All people aged 16 and over: Level 4 and above,71568
S12000046,All people aged 16 and over: Total,497618
S12000046,All people aged 16 and over: No qualifications,159162
S12000046,All people aged 16 and over: Level 1,98132
S12000046,All people aged 16 and over: Level 2,66685
S12000046,All people aged 16 and over: Level 3,44694
S12000046,All people aged 16 and over: Level 4 and above,128945
S12000017,All people aged 16 and over: Total,190734
S12000017,All people aged 16 and over: No qualifications,48624
S12000017,All people aged 16 and over: Level 1,46719
S12000017,All people aged 16 and over: Level 2,27454
S12000017,All people aged 16 and over: Level 3,17639
S12000017,All people aged 16 and over: Level 4 and above,50298
S12000018,All people aged 16 and over: Total,67753
S12000018,All people aged 16 and over: No qualifications,22083
S12000018,All people aged 16 and over: Level 1,15550
S12000018,All people aged 16 and over: Level 2,8957
S12000018,All people aged 16 and over: Level 3,7786
S12000018,All people aged 16 and over: Level 4 and above,13377
S12000019,All people aged 16 and over: Total,67584
S12000019,All people aged 16 and over: No qualifications,19310
S12000019,All people aged 16 and over: Level 1,18471
S12000019,All people aged 16 and over: Level 2,9800
S12000019,All people aged 16 and over: Level 3,5776
S12000019,All people aged 16 and over: Level 4 and above,14227
S12000020,All people aged 16 and over: Total,76251
S12000020,All people aged 16 and over: No qualifications,20343
S12000020,All people aged 16 and over: Level 1,20088
S12000020,All people aged 16 and over: Level 2,10987
S12000020,All people aged 16 and over: Level 3,7520
S12000020,All people aged 16 and over: Level 4 and above,17313
S12000021,All people aged 16 and over: Total,113663
S12000021,All people aged 16 and over: No qualifications,35561
S12000021,All people aged 16 and over: Level 1,27532
S12000021,All people aged 16 and over: Level 2,15226
S12000021,All people aged 16 and over: Level 3,13011
S12000021,All people aged 16 and over: Level 4 and above,22333
S12000044,All people aged 16 and over: Total,272845
