name,mnemonic,"1. Higher managerial, administrative and professional occupations","2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,Not classified
Darlington,E06000005,6489,15507,11050,5794,5773,12661,10238,4548,4575
County Durham,E06000047,27546,69276,46532,27983,31665,64914,60730,21624,33526
Hartlepool,E06000001,3632,11273,7989,4318,5956,11981,11032,5919,4704
Middlesbrough,E06000002,5240,15318,11321,5688,7713,17372,15424,10873,11602
Northumberland,E06000057,21130,49700,30701,22684,18795,36844,29365,11098,12907
Redcar and Cleveland,E06000003,5880,17626,11824,6513,10446,17750,15265,7465,6408
Stockton-on-Tees,E06000004,10969,27791,18829,9119,11935,22395,18934,9461,11221
Gateshead,E08000037,11407,27736,20611,9157,12045,25601,22118,8894,10510
Newcastle upon Tyne,E08000021,20050,34286,22836,12143,12446,27982,24284,15811,43026
North Tyneside,E08000022,13659,31900,23589,9731,11015,23095,18039,7660,9201
South Tyneside,E08000023,6795,18774,14978,6646,9302,19269,17413,8149,7655
Sunderland,E08000024,11622,34061,29265,12991,16636,35620,33447,14571,17339
Blackburn with Darwen,E06000008,7095,16362,12428,8837,7902,16843,14886,10946,9118
Blackpool,E06000009,5031,17157,13417,12844,8574,18387,14722,6854,6827
Cheshire East,E06000049,37668,64054,33778,27223,19104,35193,26386,9008,18539
Cheshire West and Chester,E06000050,29109,54169,30076,20978,20083,35208,25970,9021,18541
Halton,E06000006,6148,16019,12930,5996,8838,16624,14066,5862,6225
Warrington,E06000007,17582,33022,21686,11159,10989,21259,17846,6115,9803
Allerdale,E07000026,5543,13191,7248,7920,6943,12966,10699,2897,3571
Barrow-in-Furness,E07000027,3649,9123,6205,3713,5264,9311,8396,2712,2730
Carlisle,E07000028,5768,14826,9674,7775,6904,15052,11229,3007,5296
Copeland,E07000029,4641,9787,5754,4133,6070,9185,8054,2626,2452
Eden,E07000030,3391,7974,3915,6939,3083,5949,4607,777,2100
South Lakeland,E07000031,8341,17911,7981,11250,6283,10920,7673,1363,4109
Bolton,E08000001,16137,36995,26869,17739,13979,31675,26759,14545,16025
Bury,E08000002,13166,29458,19670,12437,9134,19100,14755,7530,9437
Manchester,E08000003,32747,59425,39994,22160,20297,47880,42331,38495,79603
Oldham,E08000004,10590,27203,20724,13797,12383,24949,23628,14005,12486
Rochdale,E08000005,10184,26425,19704,13602,11049,23407,22912,13625,11834
Salford,E08000006,13404,31359,24481,11937,12283,26324,22902,12654,17773
Stockport,E08000007,25362,47598,31564,18837,13198,27422,18634,8768,13927
Tameside,E08000008,10886,27997,24073,13823,13597,27933,22694,9871,10585
Trafford,E08000009,23391,38771,24552,13770,9414,20057,13339,7574,11938
Wigan,E08000010,16423,44163,31960,19746,20063,40341,37326,12274,14199
Burnley,E07000117,3843,10971,7505,5270,5359,11455,9847,4857,4269
Chorley,E07000118,8699,18290,10945,7725,6053,11212,9446,3069,4512
Fylde,E07000119,7387,12865,7867,6120,3738,7144,4469,1761,3193
Hyndburn,E07000120,3552,10063,7095,5500,5185,10076,8586,4123,4176
Lancaster,E07000121,8991,20063,11546,9314,7051,14672,11119,4127,16413
Pendle,E07000122,4526,11078,6994,6451,5045,10831,9789,5367,4359
Preston,E07000123,8780,17917,13484,7326,7039,14834,12785,7005,14915
Ribble Valley,E07000124,5236,10493,5106,5445,2925,4919,3550,944,2667
Rossendale,E07000125,4627,10680,6285,5339,3517,7317,6539,2462,3309
South Ribble,E07000126,8146,18220,13045,7119,6560,11902,8297,2255,4914
West Lancashire,E07000127,7648,16985,10281,8255,5495,11693,9804,3372,8068
Wyre,E07000128,6716,16428,11174,9667,6130,11480,8161,2572,5335
Knowsley,E08000011,5317,16642,15037,7275,8159,19775,15856,9920,8174
Liverpool,E08000012,24568,58605,43131,21618,21757,52800,44186,34436,55775
Sefton,E08000014,16679,42028,31111,17421,13154,30723,21248,11273,14560
St. Helens,E08000013,9229,24666,17180,8922,10846,21994,20100,8233,8414
Wirral,E08000015,20959,48851,32290,17559,17985,36362,26654,14407,15784
East Riding of Yorkshire,E06000011,23557,54297,32036,26933,19795,36034,28652,8831,15459
"Kingston upon Hull, City of",E06000010,8296,26676,20102,11382,16709,35430,34529,17653,19833
North East Lincolnshire,E06000012,5799,18879,12556,8552,12242,23418,18764,7900,7713
North Lincolnshire,E06000013,8500,21902,13658,9863,12751,21543,20050,6780,7282
York,E06000014,17492,31687,17719,11527,9969,20625,13983,4144,22643
Craven,E07000163,4514,9817,4656,6116,2822,5217,3738,896,2280
Hambleton,E07000164,8128,16066,8512,8592,4479,8218,6317,1629,3314
Harrogate,E07000165,15575,29181,14995,14089,7294,14228,9290,2720,6666
Richmondshire,E07000166,3673,9383,6767,4916,2837,4611,3804,1030,1631
Ryedale,E07000167,3605,7611,3804,6492,2984,5793,4256,965,2071
Scarborough,E07000168,4993,15143,8011,10858,7286,14217,10049,3430,5406
Selby,E07000169,6769,13543,7988,6376,5183,9444,7318,1809,3401
Barnsley,E08000016,10550,29139,20618,14880,14659,29435,30588,10725,9811
Doncaster,E08000017,13010,37067,25842,18202,19648,39900,38409,15696,13103
Rotherham,E08000018,12193,32767,24692,15721,15905,33211,28840,13172,11458
Sheffield,E08000019,38251,73465,46685,29995,25211,58744,45357,27388,65908
Bradford,E08000032,27625,62475,45116,32547,24326,51277,47217,40789,34845
Calderdale,E08000033,14525,31143,19313,14130,10422,22006,18534,8910,9783
Kirklees,E08000034,27100,58371,36498,28443,22095,42872,41254,22922,27639
Leeds,E08000035,58491,108607,72518,41641,35744,74729,60678,33868,74573
Wakefield,E08000036,16438,42814,30075,18621,20733,40676,44732,13660,13248
Derby,E06000015,15722,32695,21426,12119,14696,28135,23324,12895,18279
Leicester,E06000016,14932,31282,24813,14889,14294,37370,39440,25199,40013
Nottingham,E06000018,15299,31764,21693,13465,14583,31573,32003,20058,51634
Rutland,E06000017,3615,6862,3120,3184,1800,3070,2564,713,2124
Amber Valley,E07000032,8501,17967,10592,8576,8129,14362,13962,3509,4960
Bolsover,E07000033,3420,9186,6181,4596,5375,9963,10963,3117,3144
Chesterfield,E07000034,5761,14580,10312,6279,6104,13553,11210,4153,4457
Derbyshire Dales,E07000035,6899,11976,5607,7457,3689,6535,5703,1345,2767
Erewash,E07000036,7168,15782,11028,7117,7585,13232,12253,3591,4853
High Peak,E07000037,7525,14733,8070,7351,5397,9882,7437,2400,4594
North East Derbyshire,E07000038,6435,15047,9843,7435,5824,11809,10110,2899,4058
South Derbyshire,E07000039,7553,14877,8806,6394,6183,10512,8651,2211,4263
Blaby,E07000129,7255,15326,10615,6983,5229,9125,7759,1867,4399
Charnwood,E07000130,13248,24327,14964,10381,8790,16042,13447,4228,19540
Harborough,E07000131,8888,15713,8444,7379,3852,6787,5613,1370,3867
Hinckley and Bosworth,E07000132,8245,16870,10751,7982,6220,10527,10483,2302,4336
Melton,E07000133,4107,8109,4345,4107,3061,5711,4392,952,2171
North West Leicestershire,E07000134,7105,13987,8652,6452,5801,10193,9840,2353,4173
Oadby and Wigston,E07000135,4281,7963,6028,3492,2741,5364,4390,1493,5045
Boston,E07000136,2385,7318,4885,4550,4429,10479,8578,2291,2391
East Lindsey,E07000137,5878,18458,11042,13508,8887,18387,14103,4671,4994
Lincoln,E07000138,4606,11972,7788,4935,5500,12301,9211,4080,11184
North Kesteven,E07000139,7672,18529,11386,8150,6447,11842,8069,2234,4287
South Holland,E07000140,4253,11077,7301,7424,5909,12120,10420,2408,3008
South Kesteven,E07000141,10214,21805,12647,9892,7806,15207,11136,3082,5530
