Scottish Council Area 2011,National Statistics Socio-economic Classification (NS-SeC),Count
S12000033,All people aged 16 to 74,174869
S12000033,L1 Employers in large organisations,21
S12000033,L2 Higher managerial,3118
S12000033,L3.1 (Traditional) - Employees,11935
S12000033,L3.2 (New) - Employees,3909
S12000033,L3.3 (Traditional) - Self-employed,1737
S12000033,L3.4 (New) - Self-employed,245
S12000033,L4.1 (Traditional) - Employees,20234
S12000033,L4.2 (New) - Employees,1825
S12000033,L4.3 (Traditional) - Self-employed,1522
S12000033,L4.4 (New) - Self-employed,221
S12000033,L5 Lower managerial,6258
S12000033,L6 Higher supervisory,4008
S12000033,L7.1 Intermediate clerical and administrative,13521
S12000033,L7.2 Intermediate sales and service,4272
S12000033,L7.3 Intermediate technical and auxiliary,2313
S12000033,L7.4 Intermediate engineering,1006
S12000033,L8.1 Employers in small organisations (non-professional),2382
S12000033,L8.2 Employers in small organisations (agriculture),39
S12000033,L9.1 Own account workers (non-professional),5912
S12000033,L9.2 Own account workers (agriculture),149
S12000033,L10 Lower supervisory,8331
S12000033,L11.1 Lower technical craft,5633
S12000033,L11.2 Lower technical process operative,796
S12000033,L12.1 Semi-routine sales,6651
S12000033,L12.2 Semi-routine service,9561
S12000033,L12.3 Semi-routine technical,1790
S12000033,L12.4 Semi-routine operative,2132
S12000033,L12.5 Semi-routine agriculture,80
S12000033,L12.6 Semi-routine clerical,2698
S12000033,L12.7 Semi-routine childcare,751
S12000033,L13.1 Routine sales and service,2444
S12000033,L13.2 Routine production,1276
S12000033,L13.3 Routine technical,7303
S12000033,L13.4 Routine operative,9329
S12000033,L13.5 Routine agricultural,115
S12000033,L14.1 Never worked,3478
S12000033,L14.2 Long-term unemployed,1862
S12000033,L15 Full-time students,26012
S12000034,All people aged 16 to 74,187492
S12000034,L1 Employers in large organisations,33
S12000034,L2 Higher managerial,4411
S12000034,L3.1 (Traditional) - Employees,8650
S12000034,L3.2 (New) - Employees,4206
S12000034,L3.3 (Traditional) - Self-employed,1929
S12000034,L3.4 (New) - Self-employed,320
S12000034,L4.1 (Traditional) - Employees,23402
S12000034,L4.2 (New) - Employees,1856
S12000034,L4.3 (Traditional) - Self-employed,2081
S12000034,L4.4 (New) - Self-employed,248
S12000034,L5 Lower managerial,7519
S12000034,L6 Higher supervisory,5345
S12000034,L7.1 Intermediate clerical and administrative,14449
S12000034,L7.2 Intermediate sales and service,5016
S12000034,L7.3 Intermediate technical and auxiliary,2115
S12000034,L7.4 Intermediate engineering,1110
S12000034,L8.1 Employers in small organisations (non-professional),4908
S12000034,L8.2 Employers in small organisations (agriculture),1219
S12000034,L9.1 Own account workers (non-professional),9556
S12000034,L9.2 Own account workers (agriculture),3099
S12000034,L10 Lower supervisory,10137
S12000034,L11.1 Lower technical craft,7597
S12000034,L11.2 Lower technical process operative,996
S12000034,L12.1 Semi-routine sales,7852
S12000034,L12.2 Semi-routine service,10237
S12000034,L12.3 Semi-routine technical,1808
S12000034,L12.4 Semi-routine operative,3890
S12000034,L12.5 Semi-routine agriculture,1213
S12000034,L12.6 Semi-routine clerical,2607
S12000034,L12.7 Semi-routine childcare,936
S12000034,L13.1 Routine sales and service,3034
S12000034,L13.2 Routine production,2095
S12000034,L13.3 Routine technical,9787
S12000034,L13.4 Routine operative,7956
S12000034,L13.5 Routine agricultural,407
S12000034,L14.1 Never worked,2834
S12000034,L14.2 Long-term unemployed,1641
S12000034,L15 Full-time students,10993
S12000041,All people aged 16 to 74,84940
S12000041,L1 Employers in large organisations,16
S12000041,L2 Higher managerial,1513
S12000041,L3.1 (Traditional) - Employees,2721
S12000041,L3.2 (New) - Employees,1224
S12000041,L3.3 (Traditional) - Self-employed,710
S12000041,L3.4 (New) - Self-employed,96
S12000041,L4.1 (Traditional) - Employees,10797
S12000041,L4.2 (New) - Employees,753
S12000041,L4.3 (Traditional) - Self-employed,732
S12000041,L4.4 (New) - Self-employed,130
S12000041,L5 Lower managerial,3283
S12000041,L6 Higher supervisory,2868
S12000041,L7.1 Intermediate clerical and administrative,6317
S12000041,L7.2 Intermediate sales and service,2592
S12000041,L7.3 Intermediate technical and auxiliary,1116
S12000041,L7.4 Intermediate engineering,380
S12000041,L8.1 Employers in small organisations (non-professional),2208
S12000041,L8.2 Employers in small organisations (agriculture),412
S12000041,L9.1 Own account workers (non-professional),4359
S12000041,L9.2 Own account workers (agriculture),689
S12000041,L10 Lower supervisory,4508
S12000041,L11.1 Lower technical craft,3114
S12000041,L11.2 Lower technical process operative,466
S12000041,L12.1 Semi-routine sales,3865
S12000041,L12.2 Semi-routine service,4744
S12000041,L12.3 Semi-routine technical,1273
S12000041,L12.4 Semi-routine operative,1479
S12000041,L12.5 Semi-routine agriculture,846
S12000041,L12.6 Semi-routine clerical,990
S12000041,L12.7 Semi-routine childcare,339
S12000041,L13.1 Routine sales and service,1440
S12000041,L13.2 Routine production,1271
S12000041,L13.3 Routine technical,4140
S12000041,L13.4 Routine operative,4419
S12000041,L13.5 Routine agricultural,226
S12000041,L14.1 Never worked,2057
S12000041,L14.2 Long-term unemployed,1374
S12000041,L15 Full-time students,5473
S12000035,All people aged 16 to 74,65156
S12000035,L1 Employers in large organisations,11
S12000035,L2 Higher managerial,1335
S12000035,L3.1 (Traditional) - Employees,2150
S12000035,L3.2 (New) - Employees,753
S12000035,L3.3 (Traditional) - Self-employed,779
S12000035,L3.4 (New) - Self-employed,98
S12000035,L4.1 (Traditional) - Employees,7671
S12000035,L4.2 (New) - Employees,375
S12000035,L4.3 (Traditional) - Self-employed,962
S12000035,L4.4 (New) - Self-employed,124
S12000035,L5 Lower managerial,2968
S12000035,L6 Higher supervisory,2694
S12000035,L7.1 Intermediate clerical and administrative,4420
S12000035,L7.2 Intermediate sales and service,2755
