,Local.Authority,Eligible,ValidVotes,PctTurnout,Con,Lab,LD,UKIP,Green,BNP,SNP,PC,Other,GSSCode,MatchName
1,ABERDEEN CITY,164177,52133,31.8,0.1884411026,0.2382368174,0.0883317668,0.0963880843,0.0714135001,0.0071931406,0.2956284887,NA,0.0143670995,S12000033,Aberdeen City
2,ABERDEENSHIRE,194190,63274,32.6,0.2482852356,0.1011789993,0.1402787875,0.1172677561,0.0570850586,0.0091032652,0.3129563486,NA,0.0138445491,S12000034,Aberdeenshire
3,ANGUS,87561,29237,33.4,0.2576871772,0.1288777918,0.0508260081,0.109450354,0.0538358929,0.0081061668,0.3777405343,NA,0.0134760748,S12000041,Angus
4,ARGYLL & BUTE,67668,27423,40.5,0.1892936586,0.1347409109,0.188673741,0.1104911935,0.0697224957,0.0071108194,0.2841410495,NA,0.0158261313,S12000035,Argyll and Bute
5,CLACKMANNANSHIRE,37371,12181,32.6,0.1333223873,0.3140136278,0.0363681143,0.0999917905,0.0604219686,0.0082095066,0.3344552992,NA,0.0132173056,S12000005,Clackmannanshire
6,DUMFRIES & GALLOWAY,116696,42703,36.6,0.3311945297,0.2086270285,0.0423389457,0.1346977964,0.0566236564,0.0085005737,0.2021872,NA,0.0158302695,S12000006,Dumfries and Galloway
7,DUNDEE CITY,105979,33693,31.8,0.1190158193,0.2686017867,0.0370403348,0.0880004749,0.0650877037,0.0071528211,0.4028433206,NA,0.012257739,S12000042,Dundee City
8,EAST AYRSHIRE,95370,27941,29.3,0.1415482624,0.3319136752,0.0225117211,0.0985290433,0.0466697684,0.0089832146,0.3335600014,NA,0.0162843134,S12000008,East Ayrshire
9,EAST DUNBARTONSHIRE,82290,31587,38.4,0.1709880647,0.2366479881,0.1424636718,0.099661253,0.0761389179,0.0049703992,0.2575110014,NA,0.0116187039,S12000045,East Dunbartonshire
10,EAST LOTHIAN,77617,27809,35.8,0.2088172894,0.2928907908,0.0570318961,0.0991046064,0.0809090582,0.0049264627,0.2438419217,NA,0.0124779748,S12000010,East Lothian
11,EAST RENFREWSHIRE,67123,28888,43,0.2784547217,0.2638811963,0.0412281916,0.1020839103,0.0703060094,0.0043270562,0.2272223761,NA,0.0124965384,S12000011,East Renfrewshire
12,CITY OF EDINBURGH,341154,141695,41.5,0.1944599315,0.2311867038,0.0887469565,0.0775750732,0.1611630615,0.0047708105,0.2309255796,NA,0.0111718833,S12000036,City of Edinburgh
13,FALKIRK,115308,34161,29.6,0.1182049706,0.3027721671,0.0251456339,0.1276309242,0.0598928603,0.0103626943,0.3378706712,NA,0.0181200785,S12000014,Falkirk
14,FIFE,286631,91606,32,0.1360172914,0.3067593826,0.0868502063,0.1038687422,0.0652249853,0.0069864419,0.2801126564,NA,0.0141802939,S12000015,Fife
15,CITY OF GLASGOW,460099,129552,28.2,0.084792207,0.3525688527,0.0295634186,0.0975515623,0.1185547116,0.0092318143,0.2919291095,NA,0.0158083241,S12000046,Glasgow City
16,HIGHLAND,180046,65167,36.2,0.1394570872,0.1406079764,0.1870425215,0.1199686958,0.0861632421,0.0066751577,0.3039882149,NA,0.0160971044,S12000017,Highland
17,INVERCLYDE,57765,20306,35.2,0.1417315079,0.3588102039,0.0479168719,0.0929281986,0.0457500246,0.0070422535,0.2876982173,NA,0.0181227223,S12000018,Inverclyde
18,MIDLOTHIAN,65625,22097,33.7,0.1316015749,0.3119427977,0.0516812237,0.1068470833,0.0861202878,0.0079648821,0.2889985066,NA,0.0148436439,S12000019,Midlothian
19,MORAY,70915,22561,31.8,0.2424981162,0.1309782368,0.0534107531,0.1358095829,0.0713177607,0.0088648553,0.338681796,NA,0.018438899,S12000020,Moray
20,NORTH AYRSHIRE,108291,33136,30.6,0.1698153066,0.2884476099,0.0258027523,0.1122646065,0.053416224,0.0090234186,0.3239980686,NA,0.0172320135,S12000021,North Ayrshire
21,NORTH LANARKSHIRE,252954,70941,28,0.085098885,0.4005723066,0.0164502897,0.1074554912,0.0516626492,0.0104312034,0.3084816961,NA,0.0198474789,S12000044,North Lanarkshire
22,ORKNEY ISLANDS,16718,5165,30.9,0.1314617619,0.0902226525,0.353339787,0.1196515005,0.1198451113,0.0067763795,0.1688286544,NA,0.009874153,S12000023,Orkney Islands
23,PERTH & KINROSS,111167,43253,38.9,0.2983839271,0.1130557418,0.0780755092,0.1014033709,0.0629551707,0.0049245139,0.3299424317,NA,0.0112593346,S12000024,Perth and Kinross
24,RENFREWSHIRE,123019,45540,37,0.1268555116,0.3518006148,0.0331137462,0.1042599912,0.0617039965,0.0079710145,0.296420729,NA,0.0178743961,S12000038,Renfrewshire
