"CTRY13CD","CTRY13NM","GOR10CD","GOR10NM","LAD13CD","LAD13NM"
"E92000001","England","E12000007","London","E09000001","City of London"
"E92000001","England","E12000007","London","E09000002","Barking and Dagenham"
"E92000001","England","E12000007","London","E09000003","Barnet"
"E92000001","England","E12000007","London","E09000004","Bexley"
"E92000001","England","E12000007","London","E09000005","Brent"
"E92000001","England","E12000007","London","E09000006","Bromley"
"E92000001","England","E12000007","London","E09000007","Camden"
"E92000001","England","E12000007","London","E09000008","Croydon"
"E92000001","England","E12000007","London","E09000009","Ealing"
"E92000001","England","E12000007","London","E09000010","Enfield"
"E92000001","England","E12000007","London","E09000011","Greenwich"
"E92000001","England","E12000007","London","E09000012","Hackney"
"E92000001","England","E12000007","London","E09000013","Hammersmith and Fulham"
"E92000001","England","E12000007","London","E09000014","Haringey"
"E92000001","England","E12000007","London","E09000015","Harrow"
"E92000001","England","E12000007","London","E09000016","Havering"
"E92000001","England","E12000007","London","E09000017","Hillingdon"
"E92000001","England","E12000007","London","E09000018","Hounslow"
"E92000001","England","E12000007","London","E09000019","Islington"
"E92000001","England","E12000007","London","E09000020","Kensington and Chelsea"
"E92000001","England","E12000007","London","E09000021","Kingston upon Thames"
"E92000001","England","E12000007","London","E09000022","Lambeth"
"E92000001","England","E12000007","London","E09000023","Lewisham"
"E92000001","England","E12000007","London","E09000024","Merton"
"E92000001","England","E12000007","London","E09000025","Newham"
"E92000001","England","E12000007","London","E09000026","Redbridge"
"E92000001","England","E12000007","London","E09000027","Richmond upon Thames"
"E92000001","England","E12000007","London","E09000028","Southwark"
"E92000001","England","E12000007","London","E09000029","Sutton"
"E92000001","England","E12000007","London","E09000030","Tower Hamlets"
"E92000001","England","E12000007","London","E09000031","Waltham Forest"
"E92000001","England","E12000007","London","E09000032","Wandsworth"
"E92000001","England","E12000007","London","E09000033","Westminster"
"E92000001","England","E12000002","North West","E08000001","Bolton"
"E92000001","England","E12000002","North West","E08000002","Bury"
"E92000001","England","E12000002","North West","E08000003","Manchester"
"E92000001","England","E12000002","North West","E08000004","Oldham"
"E92000001","England","E12000002","North West","E08000005","Rochdale"
"E92000001","England","E12000002","North West","E08000006","Salford"
"E92000001","England","E12000002","North West","E08000007","Stockport"
"E92000001","England","E12000002","North West","E08000008","Tameside"
"E92000001","England","E12000002","North West","E08000009","Trafford"
"E92000001","England","E12000002","North West","E08000010","Wigan"
"E92000001","England","E12000002","North West","E08000011","Knowsley"
"E92000001","England","E12000002","North West","E08000012","Liverpool"
"E92000001","England","E12000002","North West","E08000013","St. Helens"
"E92000001","England","E12000002","North West","E08000014","Sefton"
"E92000001","England","E12000002","North West","E08000015","Wirral"
"E92000001","England","E12000003","Yorkshire and The Humber","E08000016","Barnsley"
"E92000001","England","E12000003","Yorkshire and The Humber","E08000017","Doncaster"
"E92000001","England","E12000003","Yorkshire and The Humber","E08000018","Rotherham"
"E92000001","England","E12000003","Yorkshire and The Humber","E08000019","Sheffield"
"E92000001","England","E12000001","North East","E08000020","Gateshead"
"E92000001","England","E12000001","North East","E08000021","Newcastle upon Tyne"
"E92000001","England","E12000001","North East","E08000022","North Tyneside"
"E92000001","England","E12000001","North East","E08000023","South Tyneside"
"E92000001","England","E12000001","North East","E08000024","Sunderland"
"E92000001","England","E12000005","West Midlands","E08000025","Birmingham"
"E92000001","England","E12000005","West Midlands","E08000026","Coventry"
"E92000001","England","E12000005","West Midlands","E08000027","Dudley"
"E92000001","England","E12000005","West Midlands","E08000028","Sandwell"
"E92000001","England","E12000005","West Midlands","E08000029","Solihull"
"E92000001","England","E12000005","West Midlands","E08000030","Walsall"
"E92000001","England","E12000005","West Midlands","E08000031","Wolverhampton"
"E92000001","England","E12000003","Yorkshire and The Humber","E08000032","Bradford"
"E92000001","England","E12000003","Yorkshire and The Humber","E08000033","Calderdale"
"E92000001","England","E12000003","Yorkshire and The Humber","E08000034","Kirklees"
"E92000001","England","E12000003","Yorkshire and The Humber","E08000035","Leeds"
"E92000001","England","E12000003","Yorkshire and The Humber","E08000036","Wakefield"
"E92000001","England","E12000001","North East","E06000001","Hartlepool"
"E92000001","England","E12000001","North East","E06000002","Middlesbrough"
"E92000001","England","E12000001","North East","E06000003","Redcar and Cleveland"
"E92000001","England","E12000001","North East","E06000004","Stockton-on-Tees"
"E92000001","England","E12000001","North East","E06000005","Darlington"
"E92000001","England","E12000001","North East","E06000047","County Durham"
"E92000001","England","E12000001","North East","E06000048","Northumberland"
"E92000001","England","E12000002","North West","E06000049","Cheshire East"
"E92000001","England","E12000002","North West","E06000006","Halton"
"E92000001","England","E12000002","North West","E06000007","Warrington"
"E92000001","England","E12000002","North West","E06000050","Cheshire West and Chester"
"E92000001","England","E12000002","North West","E06000008","Blackburn with Darwen"
"E92000001","England","E12000002","North West","E06000009","Blackpool"
"E92000001","England","E12000003","Yorkshire and The Humber","E06000010","Kingston upon Hull, City of"
"E92000001","England","E12000003","Yorkshire and The Humber","E06000011","East Riding of Yorkshire"
"E92000001","England","E12000003","Yorkshire and The Humber","E06000012","North East Lincolnshire"
"E92000001","England","E12000003","Yorkshire and The Humber","E06000013","North Lincolnshire"
"E92000001","England","E12000003","Yorkshire and The Humber","E06000014","York"
"E92000001","England","E12000004","East Midlands","E06000015","Derby"
"E92000001","England","E12000004","East Midlands","E06000016","Leicester"
"E92000001","England","E12000004","East Midlands","E06000017","Rutland"
"E92000001","England","E12000004","East Midlands","E06000018","Nottingham"
"E92000001","England","E12000005","West Midlands","E06000019","Herefordshire, County of"
"E92000001","England","E12000005","West Midlands","E06000020","Telford and Wrekin"
"E92000001","England","E12000005","West Midlands","E06000051","Shropshire"
"E92000001","England","E12000005","West Midlands","E06000021","Stoke-on-Trent"
"E92000001","England","E12000009","South West","E06000022","Bath and North East Somerset"
"E92000001","England","E12000009","South West","E06000023","Bristol, City of"
"E92000001","England","E12000009","South West","E06000024","North Somerset"
"E92000001","England","E12000009","South West","E06000025","South Gloucestershire"
"E92000001","England","E12000009","South West","E06000052","Cornwall"
"E92000001","England","E12000009","South West","E06000053","Isles of Scilly"
"E92000001","England","E12000009","South West","E06000026","Plymouth"
"E92000001","England","E12000009","South West","E06000027","Torbay"
"E92000001","England","E12000009","South West","E06000028","Bournemouth"
"E92000001","England","E12000009","South West","E06000029","Poole"
"E92000001","England","E12000009","South West","E06000030","Swindon"
"E92000001","England","E12000009","South West","E06000054","Wiltshire"
"E92000001","England","E12000006","East of England","E06000031","Peterborough"
"E92000001","England","E12000006","East of England","E06000032","Luton"
"E92000001","England","E12000006","East of England","E06000055","Bedford"
"E92000001","England","E12000006","East of England","E06000056","Central Bedfordshire"
"E92000001","England","E12000006","East of England","E06000033","Southend-on-Sea"
"E92000001","England","E12000006","East of England","E06000034","Thurrock"
"E92000001","England","E12000008","South East","E06000035","Medway"
"E92000001","England","E12000008","South East","E06000036","Bracknell Forest"
"E92000001","England","E12000008","South East","E06000037","West Berkshire"
"E92000001","England","E12000008","South East","E06000038","Reading"
"E92000001","England","E12000008","South East","E06000039","Slough"
"E92000001","England","E12000008","South East","E06000040","Windsor and Maidenhead"
"E92000001","England","E12000008","South East","E06000041","Wokingham"
"E92000001","England","E12000008","South East","E06000042","Milton Keynes"
"E92000001","England","E12000008","South East","E06000043","Brighton and Hove"
"E92000001","England","E12000008","South East","E06000044","Portsmouth"
"E92000001","England","E12000008","South East","E06000045","Southampton"
"E92000001","England","E12000008","South East","E06000046","Isle of Wight"
"W92000004","Wales","","","W06000001","Isle of Anglesey"
"W92000004","Wales","","","W06000002","Gwynedd"
"W92000004","Wales","","","W06000003","Conwy"
"W92000004","Wales","","","W06000004","Denbighshire"
"W92000004","Wales","","","W06000005","Flintshire"
"W92000004","Wales","","","W06000006","Wrexham"
"W92000004","Wales","","","W06000023","Powys"
"W92000004","Wales","","","W06000008","Ceredigion"
"W92000004","Wales","","","W06000009","Pembrokeshire"
"W92000004","Wales","","","W06000010","Carmarthenshire"
"W92000004","Wales","","","W06000011","Swansea"
"W92000004","Wales","","","W06000012","Neath Port Talbot"
"W92000004","Wales","","","W06000013","Bridgend"
"W92000004","Wales","","","W06000014","Vale of Glamorgan"
"W92000004","Wales","","","W06000016","Rhondda Cynon Taf"
"W92000004","Wales","","","W06000024","Merthyr Tydfil"
"W92000004","Wales","","","W06000018","Caerphilly"
"W92000004","Wales","","","W06000019","Blaenau Gwent"
"W92000004","Wales","","","W06000020","Torfaen"
"W92000004","Wales","","","W06000021","Monmouthshire"
"W92000004","Wales","","","W06000022","Newport"
"W92000004","Wales","","","W06000015","Cardiff"
"S92000003","Scotland","","","S12000033","Aberdeen City"
"S92000003","Scotland","","","S12000034","Aberdeenshire"
"S92000003","Scotland","","","S12000041","Angus"
"S92000003","Scotland","","","S12000035","Argyll and Bute"
"S92000003","Scotland","","","S12000026","Scottish Borders"
"S92000003","Scotland","","","S12000005","Clackmannanshire"
"S92000003","Scotland","","","S12000039","West Dunbartonshire"
"S92000003","Scotland","","","S12000006","Dumfries and Galloway"
"S92000003","Scotland","","","S12000042","Dundee City"
"S92000003","Scotland","","","S12000008","East Ayrshire"
"S92000003","Scotland","","","S12000045","East Dunbartonshire"
"S92000003","Scotland","","","S12000010","East Lothian"
"S92000003","Scotland","","","S12000011","East Renfrewshire"
"S92000003","Scotland","","","S12000036","City of Edinburgh"
"S92000003","Scotland","","","S12000014","Falkirk"
"S92000003","Scotland","","","S12000015","Fife"
"S92000003","Scotland","","","S12000046","Glasgow City"
"S92000003","Scotland","","","S12000017","Highland"
"S92000003","Scotland","","","S12000018","Inverclyde"
"S92000003","Scotland","","","S12000019","Midlothian"
"S92000003","Scotland","","","S12000020","Moray"
"S92000003","Scotland","","","S12000021","North Ayrshire"
"S92000003","Scotland","","","S12000044","North Lanarkshire"
"S92000003","Scotland","","","S12000023","Orkney Islands"
"S92000003","Scotland","","","S12000024","Perth and Kinross"
"S92000003","Scotland","","","S12000038","Renfrewshire"
"S92000003","Scotland","","","S12000027","Shetland Islands"
"S92000003","Scotland","","","S12000028","South Ayrshire"
"S92000003","Scotland","","","S12000029","South Lanarkshire"
"S92000003","Scotland","","","S12000030","Stirling"
"S92000003","Scotland","","","S12000040","West Lothian"
"S92000003","Scotland","","","S12000013","Eilean Siar"
"E92000001","England","E12000008","South East","E07000004","Aylesbury Vale"
"E92000001","England","E12000008","South East","E07000005","Chiltern"
"E92000001","England","E12000008","South East","E07000006","South Bucks"
"E92000001","England","E12000008","South East","E07000007","Wycombe"
"E92000001","England","E12000006","East of England","E07000008","Cambridge"
"E92000001","England","E12000006","East of England","E07000009","East Cambridgeshire"
"E92000001","England","E12000006","East of England","E07000010","Fenland"
"E92000001","England","E12000006","East of England","E07000011","Huntingdonshire"
"E92000001","England","E12000006","East of England","E07000012","South Cambridgeshire"
"E92000001","England","E12000002","North West","E07000026","Allerdale"
"E92000001","England","E12000002","North West","E07000027","Barrow-in-Furness"
"E92000001","England","E12000002","North West","E07000028","Carlisle"
"E92000001","England","E12000002","North West","E07000029","Copeland"
"E92000001","England","E12000002","North West","E07000030","Eden"
"E92000001","England","E12000002","North West","E07000031","South Lakeland"
"E92000001","England","E12000004","East Midlands","E07000032","Amber Valley"
"E92000001","England","E12000004","East Midlands","E07000033","Bolsover"
"E92000001","England","E12000004","East Midlands","E07000034","Chesterfield"
"E92000001","England","E12000004","East Midlands","E07000035","Derbyshire Dales"
"E92000001","England","E12000004","East Midlands","E07000036","Erewash"
"E92000001","England","E12000004","East Midlands","E07000037","High Peak"
"E92000001","England","E12000004","East Midlands","E07000038","North East Derbyshire"
"E92000001","England","E12000004","East Midlands","E07000039","South Derbyshire"
"E92000001","England","E12000009","South West","E07000040","East Devon"
"E92000001","England","E12000009","South West","E07000041","Exeter"
"E92000001","England","E12000009","South West","E07000042","Mid Devon"
"E92000001","England","E12000009","South West","E07000043","North Devon"
"E92000001","England","E12000009","South West","E07000044","South Hams"
"E92000001","England","E12000009","South West","E07000045","Teignbridge"
"E92000001","England","E12000009","South West","E07000046","Torridge"
"E92000001","England","E12000009","South West","E07000047","West Devon"
"E92000001","England","E12000009","South West","E07000048","Christchurch"
"E92000001","England","E12000009","South West","E07000049","East Dorset"
"E92000001","England","E12000009","South West","E07000050","North Dorset"
"E92000001","England","E12000009","South West","E07000051","Purbeck"
"E92000001","England","E12000009","South West","E07000052","West Dorset"
"E92000001","England","E12000009","South West","E07000053","Weymouth and Portland"
"E92000001","England","E12000008","South East","E07000061","Eastbourne"
"E92000001","England","E12000008","South East","E07000062","Hastings"
"E92000001","England","E12000008","South East","E07000063","Lewes"
"E92000001","England","E12000008","South East","E07000064","Rother"
"E92000001","England","E12000008","South East","E07000065","Wealden"
"E92000001","England","E12000006","East of England","E07000066","Basildon"
"E92000001","England","E12000006","East of England","E07000067","Braintree"
"E92000001","England","E12000006","East of England","E07000068","Brentwood"
"E92000001","England","E12000006","East of England","E07000069","Castle Point"
"E92000001","England","E12000006","East of England","E07000070","Chelmsford"
"E92000001","England","E12000006","East of England","E07000071","Colchester"
"E92000001","England","E12000006","East of England","E07000072","Epping Forest"
"E92000001","England","E12000006","East of England","E07000073","Harlow"
"E92000001","England","E12000006","East of England","E07000074","Maldon"
"E92000001","England","E12000006","East of England","E07000075","Rochford"
"E92000001","England","E12000006","East of England","E07000076","Tendring"
"E92000001","England","E12000006","East of England","E07000077","Uttlesford"
"E92000001","England","E12000009","South West","E07000078","Cheltenham"
"E92000001","England","E12000009","South West","E07000079","Cotswold"
"E92000001","England","E12000009","South West","E07000080","Forest of Dean"
"E92000001","England","E12000009","South West","E07000081","Gloucester"
"E92000001","England","E12000009","South West","E07000082","Stroud"
"E92000001","England","E12000009","South West","E07000083","Tewkesbury"
"E92000001","England","E12000008","South East","E07000084","Basingstoke and Deane"
"E92000001","England","E12000008","South East","E07000085","East Hampshire"
"E92000001","England","E12000008","South East","E07000086","Eastleigh"
"E92000001","England","E12000008","South East","E07000087","Fareham"
"E92000001","England","E12000008","South East","E07000088","Gosport"
"E92000001","England","E12000008","South East","E07000089","Hart"
"E92000001","England","E12000008","South East","E07000090","Havant"
"E92000001","England","E12000008","South East","E07000091","New Forest"
"E92000001","England","E12000008","South East","E07000092","Rushmoor"
"E92000001","England","E12000008","South East","E07000093","Test Valley"
"E92000001","England","E12000008","South East","E07000094","Winchester"
"E92000001","England","E12000006","East of England","E07000095","Broxbourne"
"E92000001","England","E12000006","East of England","E07000096","Dacorum"
"E92000001","England","E12000006","East of England","E07000097","East Hertfordshire"
"E92000001","England","E12000006","East of England","E07000098","Hertsmere"
"E92000001","England","E12000006","East of England","E07000099","North Hertfordshire"
"E92000001","England","E12000006","East of England","E07000100","St Albans"
"E92000001","England","E12000006","East of England","E07000101","Stevenage"
"E92000001","England","E12000006","East of England","E07000102","Three Rivers"
"E92000001","England","E12000006","East of England","E07000103","Watford"
"E92000001","England","E12000006","East of England","E07000104","Welwyn Hatfield"
"E92000001","England","E12000008","South East","E07000105","Ashford"
"E92000001","England","E12000008","South East","E07000106","Canterbury"
"E92000001","England","E12000008","South East","E07000107","Dartford"
"E92000001","England","E12000008","South East","E07000108","Dover"
"E92000001","England","E12000008","South East","E07000109","Gravesham"
"E92000001","England","E12000008","South East","E07000110","Maidstone"
"E92000001","England","E12000008","South East","E07000111","Sevenoaks"
"E92000001","England","E12000008","South East","E07000112","Shepway"
"E92000001","England","E12000008","South East","E07000113","Swale"
"E92000001","England","E12000008","South East","E07000114","Thanet"
"E92000001","England","E12000008","South East","E07000115","Tonbridge and Malling"
"E92000001","England","E12000008","South East","E07000116","Tunbridge Wells"
"E92000001","England","E12000002","North West","E07000117","Burnley"
"E92000001","England","E12000002","North West","E07000118","Chorley"
"E92000001","England","E12000002","North West","E07000119","Fylde"
"E92000001","England","E12000002","North West","E07000120","Hyndburn"
"E92000001","England","E12000002","North West","E07000121","Lancaster"
"E92000001","England","E12000002","North West","E07000122","Pendle"
"E92000001","England","E12000002","North West","E07000123","Preston"
"E92000001","England","E12000002","North West","E07000124","Ribble Valley"
"E92000001","England","E12000002","North West","E07000125","Rossendale"
"E92000001","England","E12000002","North West","E07000126","South Ribble"
"E92000001","England","E12000002","North West","E07000127","West Lancashire"
"E92000001","England","E12000002","North West","E07000128","Wyre"
"E92000001","England","E12000004","East Midlands","E07000129","Blaby"
"E92000001","England","E12000004","East Midlands","E07000130","Charnwood"
"E92000001","England","E12000004","East Midlands","E07000131","Harborough"
"E92000001","England","E12000004","East Midlands","E07000132","Hinckley and Bosworth"
"E92000001","England","E12000004","East Midlands","E07000133","Melton"
"E92000001","England","E12000004","East Midlands","E07000134","North West Leicestershire"
"E92000001","England","E12000004","East Midlands","E07000135","Oadby and Wigston"
"E92000001","England","E12000004","East Midlands","E07000136","Boston"
"E92000001","England","E12000004","East Midlands","E07000137","East Lindsey"
"E92000001","England","E12000004","East Midlands","E07000138","Lincoln"
"E92000001","England","E12000004","East Midlands","E07000139","North Kesteven"
"E92000001","England","E12000004","East Midlands","E07000140","South Holland"
"E92000001","England","E12000004","East Midlands","E07000141","South Kesteven"
"E92000001","England","E12000004","East Midlands","E07000142","West Lindsey"
"E92000001","England","E12000006","East of England","E07000143","Breckland"
"E92000001","England","E12000006","East of England","E07000144","Broadland"
"E92000001","England","E12000006","East of England","E07000145","Great Yarmouth"
"E92000001","England","E12000006","East of England","E07000146","King's Lynn and West Norfolk"
"E92000001","England","E12000006","East of England","E07000147","North Norfolk"
"E92000001","England","E12000006","East of England","E07000148","Norwich"
"E92000001","England","E12000006","East of England","E07000149","South Norfolk"
"E92000001","England","E12000004","East Midlands","E07000150","Corby"
"E92000001","England","E12000004","East Midlands","E07000151","Daventry"
"E92000001","England","E12000004","East Midlands","E07000152","East Northamptonshire"
"E92000001","England","E12000004","East Midlands","E07000153","Kettering"
"E92000001","England","E12000004","East Midlands","E07000154","Northampton"
"E92000001","England","E12000004","East Midlands","E07000155","South Northamptonshire"
"E92000001","England","E12000004","East Midlands","E07000156","Wellingborough"
"E92000001","England","E12000003","Yorkshire and The Humber","E07000163","Craven"
"E92000001","England","E12000003","Yorkshire and The Humber","E07000164","Hambleton"
"E92000001","England","E12000003","Yorkshire and The Humber","E07000165","Harrogate"
"E92000001","England","E12000003","Yorkshire and The Humber","E07000166","Richmondshire"
"E92000001","England","E12000003","Yorkshire and The Humber","E07000167","Ryedale"
"E92000001","England","E12000003","Yorkshire and The Humber","E07000168","Scarborough"
"E92000001","England","E12000003","Yorkshire and The Humber","E07000169","Selby"
"E92000001","England","E12000004","East Midlands","E07000170","Ashfield"
"E92000001","England","E12000004","East Midlands","E07000171","Bassetlaw"
"E92000001","England","E12000004","East Midlands","E07000172","Broxtowe"
"E92000001","England","E12000004","East Midlands","E07000173","Gedling"
"E92000001","England","E12000004","East Midlands","E07000174","Mansfield"
"E92000001","England","E12000004","East Midlands","E07000175","Newark and Sherwood"
